sid,id,category,polarity
79:1,79:1:0,LAPTOP#GENERAL,positive
79:2,79:2:0,BATTERY#OPERATION_PERFORMANCE,positive
79:3,79:3:0,CPU#OPERATION_PERFORMANCE,positive
79:3,79:3:1,GRAPHICS#GENERAL,positive
79:4,79:4:0,HARD_DISC#DESIGN_FEATURES,positive
79:5,79:5:0,LAPTOP#OPERATION_PERFORMANCE,positive
79:5,79:5:1,LAPTOP#USABILITY,positive
79:6,79:6:0,LAPTOP#USABILITY,positive
79:8,79:8:0,LAPTOP#PORTABILITY,positive
79:8,79:8:1,CPU#OPERATION_PERFORMANCE,positive
10:0,10:0:0,LAPTOP#GENERAL,positive
10:0,10:0:1,LAPTOP#OPERATION_PERFORMANCE,positive
10:1,10:1:0,LAPTOP#GENERAL,positive
10:2,10:2:0,LAPTOP#PRICE,positive
10:2,10:2:1,LAPTOP#GENERAL,positive
264:1,264:1:0,LAPTOP#PORTABILITY,positive
264:1,264:1:1,LAPTOP#QUALITY,positive
264:1,264:1:2,LAPTOP#USABILITY,positive
264:2,264:2:0,LAPTOP#DESIGN_FEATURES,positive
264:2,264:2:1,LAPTOP#PORTABILITY,positive
264:2,264:2:2,LAPTOP#MISCELLANEOUS,positive
264:3,264:3:0,LAPTOP#MISCELLANEOUS,positive
264:3,264:3:1,LAPTOP#QUALITY,positive
264:4,264:4:0,OS#DESIGN_FEATURES,positive
24:0,24:0:0,LAPTOP#GENERAL,negative
24:1,24:1:0,LAPTOP#DESIGN_FEATURES,negative
24:2,24:2:0,LAPTOP#PORTABILITY,negative
24:3,24:3:0,BATTERY#QUALITY,negative
24:3,24:3:1,BATTERY#OPERATION_PERFORMANCE,negative
24:4,24:4:0,BATTERY#QUALITY,negative
24:5,24:5:0,SUPPORT#QUALITY,negative
24:6,24:6:0,SUPPORT#QUALITY,negative
24:7,24:7:0,SUPPORT#QUALITY,negative
24:8,24:8:0,LAPTOP#GENERAL,negative
24:9,24:9:0,LAPTOP#QUALITY,negative
24:11,24:11:0,SUPPORT#QUALITY,negative
24:12,24:12:0,SUPPORT#QUALITY,negative
24:13,24:13:0,LAPTOP#GENERAL,negative
24:14,24:14:0,COMPANY#GENERAL,negative
24:15,24:15:0,COMPANY#GENERAL,negative
277:0,277:0:0,LAPTOP#GENERAL,positive
277:1,277:1:0,LAPTOP#PORTABILITY,positive
277:2,277:2:0,DISPLAY#USABILITY,neutral
277:2,277:2:1,DISPLAY#DESIGN_FEATURES,neutral
277:3,277:3:0,LAPTOP#GENERAL,positive
178:0,178:0:0,LAPTOP#GENERAL,positive
178:1,178:1:0,LAPTOP#QUALITY,positive
178:2,178:2:0,LAPTOP#QUALITY,positive
178:3,178:3:0,LAPTOP#QUALITY,positive
178:4,178:4:0,LAPTOP#GENERAL,positive
178:5,178:5:0,LAPTOP#GENERAL,positive
178:6,178:6:0,LAPTOP#GENERAL,positive
77:0,77:0:0,LAPTOP#GENERAL,positive
77:1,77:1:0,LAPTOP#USABILITY,positive
342:0,342:0:0,LAPTOP#GENERAL,positive
342:0,342:0:1,OS#GENERAL,positive
342:1,342:1:0,LAPTOP#OPERATION_PERFORMANCE,positive
342:1,342:1:1,LAPTOP#USABILITY,positive
342:1,342:1:2,LAPTOP#CONNECTIVITY,positive
342:2,342:2:0,LAPTOP#CONNECTIVITY,positive
342:3,342:3:0,BATTERY#OPERATION_PERFORMANCE,neutral
342:4,342:4:0,BATTERY#OPERATION_PERFORMANCE,positive
348:0,348:0:0,LAPTOP#GENERAL,positive
348:0,348:0:1,LAPTOP#OPERATION_PERFORMANCE,positive
348:0,348:0:2,HARD_DISC#DESIGN_FEATURES,positive
348:0,348:0:3,LAPTOP#QUALITY,positive
348:1,348:1:0,DISPLAY#QUALITY,negative
347:0,347:0:0,LAPTOP#PRICE,positive
347:0,347:0:1,LAPTOP#GENERAL,positive
347:2,347:2:0,LAPTOP#MISCELLANEOUS,positive
339:0,339:0:0,LAPTOP#OPERATION_PERFORMANCE,positive
339:1,339:1:0,LAPTOP#PORTABILITY,positive
339:1,339:1:1,LAPTOP#CONNECTIVITY,positive
273:0,273:0:0,LAPTOP#DESIGN_FEATURES,positive
273:0,273:0:1,LAPTOP#QUALITY,positive
273:1,273:1:0,OS#USABILITY,neutral
273:2,273:2:0,LAPTOP#DESIGN_FEATURES,positive
273:2,273:2:1,LAPTOP#QUALITY,positive
273:3,273:3:0,DISPLAY#DESIGN_FEATURES,positive
273:4,273:4:0,MOUSE#DESIGN_FEATURES,positive
273:4,273:4:1,LAPTOP#USABILITY,positive
273:6,273:6:0,LAPTOP#DESIGN_FEATURES,positive
273:7,273:7:0,SOFTWARE#MISCELLANEOUS,positive
273:8,273:8:0,LAPTOP#GENERAL,positive
273:8,273:8:1,LAPTOP#OPERATION_PERFORMANCE,positive
273:9,273:9:0,LAPTOP#PRICE,negative
273:9,273:9:1,LAPTOP#GENERAL,positive
240:0,240:0:0,LAPTOP#GENERAL,positive
240:0,240:0:1,LAPTOP#USABILITY,positive
240:0,240:0:2,GRAPHICS#GENERAL,positive
240:1,240:1:0,KEYBOARD#DESIGN_FEATURES,negative
240:2,240:2:0,LAPTOP#GENERAL,positive
240:2,240:2:1,LAPTOP#PRICE,neutral
243:0,243:0:0,LAPTOP#DESIGN_FEATURES,positive
243:0,243:0:1,LAPTOP#OPERATION_PERFORMANCE,positive
243:1,243:1:0,LAPTOP#DESIGN_FEATURES,neutral
243:1,243:1:1,LAPTOP#PORTABILITY,positive
243:2,243:2:0,LAPTOP#GENERAL,positive
285:0,285:0:0,LAPTOP#DESIGN_FEATURES,positive
285:0,285:0:1,KEYBOARD#GENERAL,positive
285:0,285:0:2,LAPTOP#OPERATION_PERFORMANCE,positive
285:1,285:1:0,LAPTOP#GENERAL,positive
285:2,285:2:0,LAPTOP#USABILITY,positive
285:2,285:2:1,LAPTOP#QUALITY,positive
285:2,285:2:2,LAPTOP#PRICE,positive
285:3,285:3:0,LAPTOP#GENERAL,positive
285:4,285:4:0,LAPTOP#GENERAL,positive
212:0,212:0:0,SOFTWARE#GENERAL,negative
212:0,212:0:1,LAPTOP#GENERAL,negative
93:0,93:0:0,SUPPORT#QUALITY,neutral
93:2,93:2:0,OPTICAL_DRIVES#QUALITY,negative
93:3,93:3:0,SUPPORT#QUALITY,negative
93:5,93:5:0,SUPPORT#QUALITY,negative
93:6,93:6:0,SUPPORT#QUALITY,negative
93:7,93:7:0,SUPPORT#QUALITY,negative
93:8,93:8:0,LAPTOP#GENERAL,negative
93:8,93:8:1,COMPANY#GENERAL,negative
93:9,93:9:0,LAPTOP#QUALITY,negative
93:9,93:9:1,SUPPORT#QUALITY,negative
93:10,93:10:0,COMPANY#GENERAL,negative
252:0,252:0:0,LAPTOP#GENERAL,positive
252:1,252:1:0,LAPTOP#PRICE,negative
252:2,252:2:0,LAPTOP#USABILITY,neutral
19:0,19:0:0,LAPTOP#GENERAL,negative
19:1,19:1:0,LAPTOP#QUALITY,negative
19:1,19:1:1,LAPTOP#GENERAL,negative
19:2,19:2:0,LAPTOP#QUALITY,negative
19:3,19:3:0,GRAPHICS#QUALITY,positive
165:0,165:0:0,LAPTOP#DESIGN_FEATURES,positive
165:0,165:0:1,LAPTOP#GENERAL,positive
165:2,165:2:0,LAPTOP#QUALITY,positive
165:3,165:3:0,LAPTOP#OPERATION_PERFORMANCE,positive
165:3,165:3:1,LAPTOP#USABILITY,positive
165:4,165:4:0,COMPANY#GENERAL,positive
165:8,165:8:0,LAPTOP#GENERAL,positive
111:0,111:0:0,HARD_DISC#QUALITY,negative
111:1,111:1:0,SUPPORT#QUALITY,negative
111:2,111:2:0,WARRANTY#GENERAL,negative
111:3,111:3:0,LAPTOP#QUALITY,negative
292:0,292:0:0,LAPTOP#GENERAL,positive
292:1,292:1:0,LAPTOP#USABILITY,positive
292:1,292:1:1,SUPPORT#QUALITY,positive
292:2,292:2:0,BATTERY#OPERATION_PERFORMANCE,positive
292:2,292:2:1,LAPTOP#OPERATION_PERFORMANCE,positive
292:3,292:3:0,LAPTOP#QUALITY,neutral
359:2,359:2:0,LAPTOP#GENERAL,negative
359:2,359:2:1,LAPTOP#QUALITY,negative
359:3,359:3:0,SOFTWARE#GENERAL,negative
359:4,359:4:0,LAPTOP#CONNECTIVITY,negative
359:5,359:5:0,SUPPORT#QUALITY,negative
359:6,359:6:0,MOUSE#QUALITY,negative
359:7,359:7:0,LAPTOP#QUALITY,negative
359:8,359:8:0,LAPTOP#GENERAL,negative
359:9,359:9:0,LAPTOP#QUALITY,negative
95:0,95:0:0,LAPTOP#QUALITY,negative
