sid,id,target,category,polarity,from,to
456:0,456:0:0,موقع,LOCATION#GENERAL,positive,31,35
456:1,456:1:0,الغرفة,ROOMS#GENERAL,positive,5,11
456:1,456:1:1,الموظفون,SERVICE#GENERAL,positive,25,33
456:1,456:1:2,بوفيه الإفطار,FOOD_DRINKS#QUALITY,positive,35,48
456:1,456:1:3,وجبة العشاء,FOOD_DRINKS#PRICES,negative,67,78
456:2,456:2:0,فندق,HOTEL#QUALITY,positive,0,4
1322:0,1322:0:0,فندق,HOTEL#GENERAL,positive,25,29
1322:0,1322:0:1,NULL,HOTEL#QUALITY,positive,0,0
1322:0,1322:0:2,NULL,LOCATION#GENERAL,positive,0,0
1322:1,1322:1:0,المدينة القديمة,LOCATION#GENERAL,positive,21,36
1322:1,1322:1:1,الأسعار السياحية,HOTEL#PRICES,positive,59,75
1322:2,1322:2:0,فريق العمل,SERVICE#GENERAL,positive,0,10
1322:3,1322:3:0,فندق,HOTEL#GENERAL,positive,0,4
1322:4,1322:4:0,الإفطار,FOOD_DRINKS#QUALITY,positive,4,11
1322:4,1322:4:1,NULL,FOOD_DRINKS#STYLE_OPTIONS,positive,0,0
1322:4,1322:4:2,NULL,HOTEL#QUALITY,positive,0,0
1606:0,1606:0:0,اكل,FOOD_DRINKS#QUALITY,positive,89,92
1606:0,1606:0:1,تعامل,SERVICE#GENERAL,positive,98,103
1606:1,1606:1:0,خدمات,SERVICE#GENERAL,positive,0,5
1606:1,1606:1:1,موقع,LOCATION#GENERAL,positive,12,16
1606:1,1606:1:2,المكان,LOCATION#GENERAL,positive,87,93
1606:2,1606:2:0,خدمات,SERVICE#GENERAL,positive,5,10
759:0,759:0:0,الفنادق,HOTEL#GENERAL,positive,8,15
759:0,759:0:1,الخدمه,SERVICE#GENERAL,positive,101,107
759:1,759:1:0,الصاله التنفيذيه,FACILITIES#GENERAL,positive,62,78
759:1,759:1:1,الوجبات,FOOD_DRINKS#QUALITY,positive,91,98
759:1,759:1:2,الحرم,LOCATION#GENERAL,positive,139,144
196:0,196:0:0,فندق,HOTEL#GENERAL,positive,0,4
196:0,196:0:1,الفندق,HOTEL#GENERAL,positive,10,16
196:0,196:0:2,مستوى الخدمه,SERVICE#GENERAL,positive,37,49
196:0,196:0:3,الاستقبال,SERVICE#GENERAL,positive,82,91
196:1,196:1:0,مركز اللياقه البدنيه,FACILITIES#GENERAL,positive,6,26
196:1,196:1:1,الفندق,LOCATION#GENERAL,positive,33,39
1700:0,1700:0:0,اقامة,HOTEL#COMFORT,positive,0,5
1700:1,1700:1:0,لفندق,HOTEL#GENERAL,positive,24,29
1700:1,1700:1:1,الهدوء,HOTEL#COMFORT,positive,69,75
1700:1,1700:1:2,مطاعمه,FACILITIES#GENERAL,positive,124,130
1700:2,1700:2:0,العاملين,SERVICE#GENERAL,positive,14,22
1700:2,1700:2:1,العاملين,SERVICE#GENERAL,positive,179,187
1700:2,1700:2:2,الفندق,HOTEL#QUALITY,positive,193,199
2278:0,2278:0:0,الغرفة,ROOMS#CLEANLINESS,negative,69,75
2278:1,2278:1:0,موظفي الفندق,SERVICE#GENERAL,positive,76,88
2278:1,2278:1:1,المرافق,FACILITIES#GENERAL,negative,143,150
2278:2,2278:2:0,النوافذ,ROOMS_AMENITIES#COMFORT,negative,1,8
2278:3,2278:3:0,الفندق,HOTEL#GENERAL,negative,18,24
2278:4,2278:4:0,الفندق,HOTEL#GENERAL,neutral,72,78
1068:0,1068:0:0,الفندق,HOTEL#GENERAL,neutral,6,12
1068:0,1068:0:1,NULL,HOTEL#GENERAL,neutral,0,0
1068:1,1068:1:0,الحمام,ROOMS#CLEANLINESS,negative,20,26
1068:2,1068:2:0,الماء,FACILITIES#GENERAL,negative,4,9
1068:3,1068:3:0,التليفزيون,ROOMS_AMENITIES#QUALITY,negative,4,14
1068:4,1068:4:0,أسعار المشروبات,FOOD_DRINKS#PRICES,negative,4,19
1068:5,1068:5:0,أسعاره,HOTEL#PRICES,negative,13,19
1068:6,1068:6:0,انترنت,FACILITIES#GENERAL,negative,12,18
1210:0,1210:0:0,اقامه,HOTEL#GENERAL,positive,0,5
1210:1,1210:1:0,الخدمه,SERVICE#GENERAL,positive,0,6
1210:1,1210:1:1,الاكل,FOOD_DRINKS#STYLE_OPTIONS,positive,14,19
1210:2,1210:2:0,شاطئ البحر,FACILITIES#DESIGN_FEATURES,positive,0,10
1210:3,1210:3:0,بار,FACILITIES#GENERAL,positive,0,3
1210:3,1210:3:1,ملاعب,FACILITIES#GENERAL,positive,32,37
1210:3,1210:3:2,الموظفين,SERVICE#GENERAL,positive,63,71
1210:4,1210:4:0,الغرف,ROOMS#COMFORT,positive,0,5
1705:0,1705:0:0,NULL,SERVICE#GENERAL,positive,0,0
1705:1,1705:1:0,الغرف,ROOMS#DESIGN_FEATURES,positive,0,5
1705:2,1705:2:0,الغرفة,ROOMS#DESIGN_FEATURES,positive,33,39
1705:2,1705:2:1,الفناء,FACILITIES#GENERAL,positive,85,91
1705:3,1705:3:0,موقع,LOCATION#GENERAL,positive,0,4
1705:3,1705:3:1,NULL,HOTEL#GENERAL,positive,0,0
941:0,941:0:0,فندق,HOTEL#GENERAL,positive,0,4
941:1,941:1:0,المكان,LOCATION#GENERAL,positive,50,56
941:2,941:2:0,موظفين,SERVICE#GENERAL,positive,3,9
941:2,941:2:1,خدمة,SERVICE#GENERAL,positive,19,23
1749:0,1749:0:0,نظافة,HOTEL#CLEANLINESS,positive,0,5
1749:0,1749:0:1,اثاث,ROOMS#QUALITY,positive,13,17
1749:1,1749:1:0,انترنت,FACILITIES#GENERAL,positive,0,6
1749:1,1749:1:1,للمحطة,FACILITIES#GENERAL,positive,22,28
1749:1,1749:1:2,للسوق,FACILITIES#GENERAL,positive,41,46
1749:1,1749:1:3,حافلات,FACILITIES#GENERAL,positive,75,81
1749:1,1749:1:4,تاكسي,FACILITIES#GENERAL,positive,118,123
1749:1,1749:1:5,المحطة,FACILITIES#GENERAL,positive,146,152
1749:2,1749:2:0,ماركت,FACILITIES#GENERAL,positive,8,13
1749:2,1749:2:1,اماكن سياحية,FACILITIES#GENERAL,positive,15,27
1749:2,1749:2:2,موظفي,SERVICE#GENERAL,positive,35,40
1749:2,1749:2:3,ثلاحة,ROOMS_AMENITIES#GENERAL,negative,67,72
1749:2,1749:2:4,قنوات تلفزيون عربية,ROOMS_AMENITIES#GENERAL,negative,83,102
1017:0,1017:0:0,الاستوديوهات,ROOMS#DESIGN_FEATURES,negative,26,38
1017:0,1017:0:1,NULL,FACILITIES#DESIGN_FEATURES,negative,0,0
1017:1,1017:1:0,الحمام,ROOMS#MISCELLANEOUS,negative,3,9
1017:1,1017:1:1,المرحاض,ROOMS#DESIGN_FEATURES,negative,94,101
1017:2,1017:2:0,المكيف,ROOMS_AMENITIES#MISCELLANEOUS,negative,7,13
1017:2,1017:2:1,المصعد,FACILITIES#MISCELLANEOUS,negative,49,55
910:0,910:0:0,فندق,HOTEL#GENERAL,positive,0,4
910:1,910:1:0,NULL,HOTEL#DESIGN_FEATURES,positive,0,0
910:2,910:2:0,الموظفين,ROOMS#QUALITY,positive,19,27
910:3,910:3:0,الغرفة,ROOMS#QUALITY,positive,0,6
910:4,910:4:0,الخدمة,SERVICE#GENERAL,positive,0,6
910:5,910:5:0,الموقع,LOCATION#GENERAL,positive,0,6
778:0,778:0:0,الاقامه,HOTEL#COMFORT,positive,10,17
