sid,id,category,polarity
1:4,1:4:0,CAMERA#DESIGN_FEATURES,negative
1:5,1:5:0,CAMERA#OPERATION_PERFORMANCE,negative
1:7,1:7:0,HARDWARE#USABILITY,negative
1:8,1:8:0,SOFTWARE#DESIGN_FEATURES,negative
1:10,1:10:0,LENS#GENERAL,positive
1:11,1:11:0,LENS#OPERATION_PERFORMANCE,negative
1:12,1:12:0,BATTERY#QUALITY,negative
1:18,1:18:0,CAMERA#PORTABILITY,positive
2:3,2:3:0,PHOTO#QUALITY,positive
3:2,3:2:0,PHOTO#QUALITY,positive
3:3,3:3:0,CAMERA#QUALITY,negative
3:4,3:4:0,FOCUS#OPERATION_PERFORMANCE,negative
3:5,3:5:0,PHOTO#QUALITY,negative
3:6,3:6:0,PHOTO#QUALITY,negative
3:7,3:7:0,FOCUS#OPERATION_PERFORMANCE,negative
3:9,3:9:0,CAMERA#DESIGN_FEATURES,positive
3:10,3:10:0,LENS#GENERAL,positive
3:11,3:11:0,PHOTO#QUALITY,positive
3:12,3:12:0,PHOTO#QUALITY,negative
3:13,3:13:0,PHOTO#QUALITY,negative
3:17,3:17:0,PHOTO#QUALITY,positive
3:18,3:18:0,PHOTO#QUALITY,positive
3:20,3:20:0,HARDWARE#DESIGN_FEATURES,positive
3:21,3:21:0,SOFTWARE#OPERATION_PERFORMANCE,negative
4:1,4:1:0,CAMERA#DESIGN_FEATURES,negative
4:7,4:7:0,CAMERA#DESIGN_FEATURES,negative
5:0,5:0:0,CAMERA#DESIGN_FEATURES,negative
5:1,5:1:0,LENS#DESIGN_FEATURES,positive
6:0,6:0:0,CAMERA#DESIGN_FEATURES,positive
6:2,6:2:0,CAMERA#DESIGN_FEATURES,positive
6:4,6:4:0,CAMERA#DESIGN_FEATURES,positive
6:5,6:5:0,CAMERA#GENERAL,positive
7:2,7:2:0,LENS#DESIGN_FEATURES,negative
7:7,7:7:0,LENS#DESIGN_FEATURES,negative
8:12,8:12:0,HARDWARE#DESIGN_FEATURES,negative
