sid,id,category,polarity
1:5,1:5:0,PHONE#DESIGN_FEATURES,positive
1:13,1:13:0,DISPLAY#QUALITY,positive
1:17,1:17:0,PORTS#CONNECTIVITY,positive
1:20,1:20:0,CPU#OPERATION_PERFORMANCE,positive
2:4,2:4:0,DISPLAY#QUALITY,positive
2:10,2:10:0,PHONE#DESIGN_FEATURES,positive
2:15,2:15:0,MULTIMEDIA_DEVICES#DESIGN_FEATURES,positive
2:16,2:16:0,MULTIMEDIA_DEVICES#QUALITY,positive
2:20,2:20:0,MULTIMEDIA_DEVICES#DESIGN_FEATURES,positive
2:35,2:35:0,POWER_SUPPLY#QUALITY,positive
2:52,2:52:0,SOFTWARE#DESIGN_FEATURES,positive
3:8,3:8:0,HARDWARE#DESIGN_FEATURES,positive
3:9,3:9:0,PHONE#QUALITY,positive
3:13,3:13:0,PHONE#DESIGN_FEATURES,positive
3:23,3:23:0,OS#OPERATION_PERFORMANCE,positive
3:26,3:26:0,SOFTWARE#DESIGN_FEATURES,positive
3:27,3:27:0,PHONE#OPERATION_PERFORMANCE,positive
3:31,3:31:0,SOFTWARE#OPERATION_PERFORMANCE,negative
3:32,3:32:0,PHONE#DESIGN_FEATURES,positive
3:35,3:35:0,OS#DESIGN_FEATURES,positive
3:36,3:36:0,MULTIMEDIA_DEVICES#DESIGN_FEATURES,positive
3:37,3:37:0,SOFTWARE#DESIGN_FEATURES,negative
3:39,3:39:0,SOFTWARE#OPERATION_PERFORMANCE,negative
3:41,3:41:0,MULTIMEDIA_DEVICES#CONNECTIVITY,positive
3:44,3:44:0,PHONE#OPERATION_PERFORMANCE,negative
4:1,4:1:0,DISPLAY#QUALITY,positive
4:2,4:2:0,MULTIMEDIA_DEVICES#DESIGN_FEATURES,positive
4:3,4:3:0,PHONE#DESIGN_FEATURES,positive
4:13,4:13:0,BATTERY#QUALITY,positive
4:18,4:18:0,PHONE#DESIGN_FEATURES,positive
4:25,4:25:0,PHONE#GENERAL,positive
4:27,4:27:0,PHONE#DESIGN_FEATURES,positive
4:28,4:28:0,DISPLAY#QUALITY,positive
4:37,4:37:0,MULTIMEDIA_DEVICES#DESIGN_FEATURES,positive
4:44,4:44:0,PORTS#CONNECTIVITY,positive
4:48,4:48:0,MULTIMEDIA_DEVICES#DESIGN_FEATURES,positive
4:49,4:49:0,HARDWARE#DESIGN_FEATURES,positive
4:59,4:59:0,DISPLAY#QUALITY,positive
4:60,4:60:0,MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE,positive
4:65,4:65:0,DISPLAY#QUALITY,positive
4:66,4:66:0,OS#OPERATION_PERFORMANCE,positive
4:68,4:68:0,DISPLAY#DESIGN_FEATURES,positive
4:76,4:76:0,SOFTWARE#DESIGN_FEATURES,positive
4:79,4:79:0,OS#DESIGN_FEATURES,positive
4:80,4:80:0,OS#DESIGN_FEATURES,positive
4:85,4:85:0,SOFTWARE#DESIGN_FEATURES,positive
6:15,6:15:0,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative
6:17,6:17:0,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative
6:25,6:25:0,SUPPORT#USABILITY,negative
6:26,6:26:0,SOFTWARE#DESIGN_FEATURES,negative
6:32,6:32:0,PHONE#OPERATION_PERFORMANCE,negative
6:33,6:33:0,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative
7:7,7:7:0,DISPLAY#DESIGN_FEATURES,positive
7:18,7:18:0,PHONE#DESIGN_FEATURES,positive
7:42,7:42:0,MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE,positive
7:49,7:49:0,DISPLAY#QUALITY,positive
7:50,7:50:0,DISPLAY#DESIGN_FEATURES,positive
7:60,7:60:0,DISPLAY#QUALITY,positive
7:61,7:61:0,WARRANTY#OPERATION_PERFORMANCE,positive
7:66,7:66:0,SOFTWARE#OPERATION_PERFORMANCE,negative
7:69,7:69:0,BATTERY#DESIGN_FEATURES,negative
7:72,7:72:0,HARDWARE#QUALITY,negative
8:3,8:3:0,DISPLAY#QUALITY,positive
8:15,8:15:0,MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE,positive
8:17,8:17:0,PHONE#OPERATION_PERFORMANCE,positive
8:18,8:18:0,PHONE#CONNECTIVITY,positive
8:20,8:20:0,DISPLAY#QUALITY,positive
8:23,8:23:0,HARDWARE#QUALITY,positive
8:31,8:31:0,DISPLAY#QUALITY,negative
9:32,9:32:0,DISPLAY#DESIGN_FEATURES,negative
9:33,9:33:0,SOFTWARE#DESIGN_FEATURES,positive
9:34,9:34:0,SOFTWARE#OPERATION_PERFORMANCE,negative
9:35,9:35:0,OS#OPERATION_PERFORMANCE,positive
9:47,9:47:0,HARDWARE#QUALITY,positive
