sid,id,category,polarity
Huawei_Ascend_G6_4G_4:1,Huawei_Ascend_G6_4G_4:1:0,BATTERY#OPERATION_PERFORMANCE,positive
Huawei_Ascend_G6_4G_4:1,Huawei_Ascend_G6_4G_4:1:1,PHONE#GENERAL,positive
Huawei_Ascend_G6_4G_4:2,Huawei_Ascend_G6_4G_4:2:0,SHIPPING#QUALITY,positive
Huawei_Ascend_G6_4G_4:3,Huawei_Ascend_G6_4G_4:3:0,PHONE#GENERAL,positive
Huawei_Ascend_G6_4G_4:4,Huawei_Ascend_G6_4G_4:4:0,PHONE#GENERAL,positive
Huawei_Ascend_G6_4G_5:5,Huawei_Ascend_G6_4G_5:5:0,PHONE#GENERAL,positive
Huawei_Ascend_G6_4G_5:6,Huawei_Ascend_G6_4G_5:6:0,PHONE#GENERAL,positive
Huawei_Ascend_G6_4G_5:7,Huawei_Ascend_G6_4G_5:7:0,PHONE#GENERAL,positive
Huawei_Ascend_G6_4G_5:9,Huawei_Ascend_G6_4G_5:9:0,PHONE#GENERAL,positive
Huawei_Ascend_G6_4G_5:10,Huawei_Ascend_G6_4G_5:10:0,PHONE#QUALITY,positive
Huawei_Ascend_G6_4G_5:10,Huawei_Ascend_G6_4G_5:10:1,PHONE#PRICE,positive
Huawei_Ascend_G6_4G_5:11,Huawei_Ascend_G6_4G_5:11:0,SHIPPING#QUALITY,positive
Huawei_Ascend_G6_4G_5:11,Huawei_Ascend_G6_4G_5:11:1,COMPANY#GENERAL,positive
Sony_Xperia_Z1_Compact_1:2,Sony_Xperia_Z1_Compact_1:2:0,PHONE#GENERAL,positive
Sony_Xperia_Z1_Compact_1:3,Sony_Xperia_Z1_Compact_1:3:0,PHONE#DESIGN_FEATURES,positive
Sony_Xperia_Z1_Compact_1:5,Sony_Xperia_Z1_Compact_1:5:0,PHONE#DESIGN_FEATURES,positive
Sony_Xperia_Z1_Compact_1:5,Sony_Xperia_Z1_Compact_1:5:1,KEYBOARD#OPERATION_PERFORMANCE,positive
Sony_Xperia_Z1_Compact_1:6,Sony_Xperia_Z1_Compact_1:6:0,BATTERY#OPERATION_PERFORMANCE,positive
Sony_Xperia_Z1_Compact_1:7,Sony_Xperia_Z1_Compact_1:7:0,BATTERY#OPERATION_PERFORMANCE,positive
Sony_Xperia_Z1_Compact_1:8,Sony_Xperia_Z1_Compact_1:8:0,MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE,negative
Sony_Xperia_Z1_Compact_1:9,Sony_Xperia_Z1_Compact_1:9:0,MULTIMEDIA_DEVICES#QUALITY,positive
Motorola_Nexus_6_3:2,Motorola_Nexus_6_3:2:0,PHONE#DESIGN_FEATURES,positive
Motorola_Nexus_6_3:3,Motorola_Nexus_6_3:3:0,PHONE#OPERATION_PERFORMANCE,positive
Motorola_Nexus_6_3:3,Motorola_Nexus_6_3:3:1,COMPANY#GENERAL,positive
Motorola_Nexus_6_3:4,Motorola_Nexus_6_3:4:0,PHONE#MISCELLANEOUS,positive
Motorola_Nexus_6_3:6,Motorola_Nexus_6_3:6:0,PHONE#GENERAL,positive
Motorola_Nexus_6_2:1,Motorola_Nexus_6_2:1:0,PHONE#GENERAL,positive
Motorola_Nexus_6_2:1,Motorola_Nexus_6_2:1:1,PHONE#OPERATION_PERFORMANCE,positive
Motorola_Nexus_6_2:2,Motorola_Nexus_6_2:2:0,CPU#OPERATION_PERFORMANCE,positive
Motorola_Nexus_6_2:2,Motorola_Nexus_6_2:2:1,PHONE#OPERATION_PERFORMANCE,positive
Motorola_Nexus_6_2:3,Motorola_Nexus_6_2:3:0,PHONE#DESIGN_FEATURES,positive
Motorola_Nexus_6_2:4,Motorola_Nexus_6_2:4:0,DISPLAY#QUALITY,positive
Motorola_Nexus_6_2:4,Motorola_Nexus_6_2:4:1,PHONE#DESIGN_FEATURES,positive
Motorola_Nexus_6_2:5,Motorola_Nexus_6_2:5:0,PHONE#OPERATION_PERFORMANCE,positive
Motorola_Nexus_6_2:5,Motorola_Nexus_6_2:5:1,PHONE#USABILITY,positive
Motorola_Nexus_6_2:6,Motorola_Nexus_6_2:6:0,DISPLAY#QUALITY,negative
Motorola_Nexus_6_1:1,Motorola_Nexus_6_1:1:0,PHONE#DESIGN_FEATURES,positive
Motorola_Nexus_6_1:2,Motorola_Nexus_6_1:2:0,PHONE#DESIGN_FEATURES,positive
Samsung_Galaxy_S5_5:1,Samsung_Galaxy_S5_5:1:0,PHONE#GENERAL,positive
Samsung_Galaxy_S5_5:2,Samsung_Galaxy_S5_5:2:0,CPU#OPERATION_PERFORMANCE,positive
Samsung_Galaxy_S5_5:2,Samsung_Galaxy_S5_5:2:1,MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE,positive
Samsung_Galaxy_S5_5:3,Samsung_Galaxy_S5_5:3:0,PHONE#CONNECTIVITY,positive
Samsung_Galaxy_S5_5:3,Samsung_Galaxy_S5_5:3:1,PHONE#GENERAL,positive
Samsung_Galaxy_S5_5:3,Samsung_Galaxy_S5_5:3:2,PHONE#OPERATION_PERFORMANCE,positive
Samsung_Galaxy_S5_5:4,Samsung_Galaxy_S5_5:4:0,PHONE#GENERAL,positive
LG_L40_D160_3:1,LG_L40_D160_3:1:0,PHONE#DESIGN_FEATURES,positive
LG_L40_D160_3:1,LG_L40_D160_3:1:1,PHONE#OPERATION_PERFORMANCE,positive
LG_L40_D160_3:2,LG_L40_D160_3:2:0,BATTERY#GENERAL,positive
LG_L40_D160_3:2,LG_L40_D160_3:2:1,BATTERY#OPERATION_PERFORMANCE,positive
LG_L40_D160_3:3,LG_L40_D160_3:3:0,PHONE#DESIGN_FEATURES,positive
LG_L40_D160_3:4,LG_L40_D160_3:4:0,PHONE#GENERAL,positive
LG_L40_D160_3:5,LG_L40_D160_3:5:0,KEYBOARD#QUALITY,positive
LG_L40_D160_3:5,LG_L40_D160_3:5:1,DISPLAY#DESIGN_FEATURES,neutral
LG_L40_D160_3:6,LG_L40_D160_3:6:0,PHONE#GENERAL,positive
Sony_Xperia_Z3_5:1,Sony_Xperia_Z3_5:1:0,PHONE#GENERAL,positive
Sony_Xperia_Z3_5:2,Sony_Xperia_Z3_5:2:0,HARDWARE#GENERAL,neutral
Sony_Xperia_Z3_5:4,Sony_Xperia_Z3_5:4:0,HARDWARE#GENERAL,negative
Sony_Xperia_Z3_5:4,Sony_Xperia_Z3_5:4:1,PHONE#DESIGN_FEATURES,positive
Sony_Xperia_Z3_5:4,Sony_Xperia_Z3_5:4:2,PHONE#OPERATION_PERFORMANCE,positive
Sony_Xperia_Z3_5:5,Sony_Xperia_Z3_5:5:0,PHONE#GENERAL,positive
Samsung_Galaxy_Note_4_2:1,Samsung_Galaxy_Note_4_2:1:0,PHONE#GENERAL,positive
Samsung_Galaxy_Note_4_2:2,Samsung_Galaxy_Note_4_2:2:0,PHONE#QUALITY,positive
Samsung_Galaxy_Note_4_2:2,Samsung_Galaxy_Note_4_2:2:1,HARD_DISC#DESIGN_FEATURES,positive
Samsung_Galaxy_Note_4_2:3,Samsung_Galaxy_Note_4_2:3:0,PHONE#OPERATION_PERFORMANCE,positive
Samsung_Galaxy_Note_4_2:4,Samsung_Galaxy_Note_4_2:4:0,DISPLAY#GENERAL,positive
Samsung_Galaxy_Note_4_2:5,Samsung_Galaxy_Note_4_2:5:0,PHONE#QUALITY,positive
Apple_iPhone_5c_8GB_2:1,Apple_iPhone_5c_8GB_2:1:0,SHIPPING#QUALITY,positive
Apple_iPhone_5c_8GB_2:2,Apple_iPhone_5c_8GB_2:2:0,PHONE#GENERAL,positive
Apple_iPhone_5c_8GB_2:3,Apple_iPhone_5c_8GB_2:3:0,COMPANY#GENERAL,positive
Apple_iPhone_5c_8GB_2:4,Apple_iPhone_5c_8GB_2:4:0,PHONE#PRICE,neutral
Apple_iPhone_5c_8GB_2:5,Apple_iPhone_5c_8GB_2:5:0,PHONE#OPERATION_PERFORMANCE,neutral
Apple_iPhone_5c_8GB_2:6,Apple_iPhone_5c_8GB_2:6:0,PHONE#GENERAL,positive
Samsung_Galaxy_Note_3_5:2,Samsung_Galaxy_Note_3_5:2:0,SHIPPING#QUALITY,positive
Samsung_Galaxy_Note_3_5:3,Samsung_Galaxy_Note_3_5:3:0,PHONE#DESIGN_FEATURES,positive
Samsung_Galaxy_Note_3_5:5,Samsung_Galaxy_Note_3_5:5:0,MULTIMEDIA_DEVICES#QUALITY,positive
Samsung_Galaxy_Note_3_5:5,Samsung_Galaxy_Note_3_5:5:1,DISPLAY#QUALITY,positive
Samsung_Galaxy_Note_3_5:9,Samsung_Galaxy_Note_3_5:9:0,PHONE#DESIGN_FEATURES,neutral
Samsung_Galaxy_Note_3_5:11,Samsung_Galaxy_Note_3_5:11:0,PHONE#DESIGN_FEATURES,neutral
Samsung_Galaxy_Note_3_5:12,Samsung_Galaxy_Note_3_5:12:0,PHONE#GENERAL,positive
Sony_Xperia_E1_1:3,Sony_Xperia_E1_1:3:0,OS#GENERAL,positive
Sony_Xperia_E1_1:4,Sony_Xperia_E1_1:4:0,OS#OPERATION_PERFORMANCE,positive
Sony_Xperia_E1_1:5,Sony_Xperia_E1_1:5:0,PHONE#USABILITY,positive
Sony_Xperia_E1_1:6,Sony_Xperia_E1_1:6:0,PHONE#GENERAL,positive
Sony_Xperia_E1_1:6,Sony_Xperia_E1_1:6:1,PHONE#QUALITY,positive
Sony_Xperia_E1_1:6,Sony_Xperia_E1_1:6:2,PHONE#PRICE,positive
Sony_Xperia_E1_1:6,Sony_Xperia_E1_1:6:3,PHONE#USABILITY,positive
LG_G4_5:1,LG_G4_5:1:0,PHONE#GENERAL,positive
LG_G4_5:2,LG_G4_5:2:0,PHONE#GENERAL,positive
LG_G4_5:3,LG_G4_5:3:0,PHONE#DESIGN_FEATURES,positive
LG_G4_5:4,LG_G4_5:4:0,PHONE#DESIGN_FEATURES,positive
LG_G4_5:5,LG_G4_5:5:0,MULTIMEDIA_DEVICES#QUALITY,positive
LG_G4_5:5,LG_G4_5:5:1,PHONE#OPERATION_PERFORMANCE,positive
LG_G4_5:5,LG_G4_5:5:2,DISPLAY#DESIGN_FEATURES,positive
LG_G4_5:5,LG_G4_5:5:3,DISPLAY#QUALITY,positive
LG_G4_5:6,LG_G4_5:6:0,BATTERY#GENERAL,positive
LG_G4_5:10,LG_G4_5:10:0,MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE,positive
LG_G4_5:10,LG_G4_5:10:1,MULTIMEDIA_DEVICES#USABILITY,positive
LG_G4_5:13,LG_G4_5:13:0,MULTIMEDIA_DEVICES#GENERAL,positive
LG_G4_5:13,LG_G4_5:13:1,PHONE#QUALITY,positive
LG_G4_5:13,LG_G4_5:13:2,PHONE#DESIGN_FEATURES,positive
LG_G4_5:13,LG_G4_5:13:3,PHONE#USABILITY,positive
LG_G4_5:14,LG_G4_5:14:0,PHONE#GENERAL,positive
Sony_Xperia_E1_3:1,Sony_Xperia_E1_3:1:0,MULTIMEDIA_DEVICES#QUALITY,positive
