sid,id,target,category,polarity,from,to
Review-g1006565-d2066794_1:1,Review-g1006565-d2066794_1:1:0,wachttijd,SERVICE#GENERAL,negative,6,15
Review-g1006565-d2066794_1:2,Review-g1006565-d2066794_1:2:0,dessert,FOOD#STYLE_OPTIONS,negative,7,14
Review-g1006565-d2066794_1:3,Review-g1006565-d2066794_1:3:0,ontbijtbuffet,FOOD#QUALITY,positive,0,13
Review-g1006565-d2066794_1:4,Review-g1006565-d2066794_1:4:0,NULL,RESTAURANT#PRICES,negative,0,0
Review-g1006565-d2066794_2:3,Review-g1006565-d2066794_2:3:0,kasteelrestaurant,RESTAURANT#GENERAL,positive,17,34
Review-g1006565-d2066794_2:4,Review-g1006565-d2066794_2:4:0,bediening,SERVICE#GENERAL,positive,13,22
Review-g1006565-d2066794_2:5,Review-g1006565-d2066794_2:5:0,personeel,SERVICE#GENERAL,positive,30,39
Review-g1006565-d2066794_2:6,Review-g1006565-d2066794_2:6:0,menus,FOOD#STYLE_OPTIONS,negative,43,48
Review-g1006565-d2066794_2:8,Review-g1006565-d2066794_2:8:0,NULL,SERVICE#GENERAL,positive,0,0
Review-g1006565-d2066794_2:8,Review-g1006565-d2066794_2:8:1,rundvlees,FOOD#QUALITY,positive,38,47
Review-g1006565-d2066794_2:9,Review-g1006565-d2066794_2:9:0,NULL,FOOD#QUALITY,positive,0,0
Review-g1006565-d2066794_2:9,Review-g1006565-d2066794_2:9:1,NULL,FOOD#PRICES,negative,0,0
Review-g1006565-d2066794_2:10,Review-g1006565-d2066794_2:10:0,visalternatief,FOOD#PRICES,positive,44,58
Review-g1006565-d2066794_2:10,Review-g1006565-d2066794_2:10:1,lam,FOOD#PRICES,positive,68,71
Review-g1006565-d2066794_2:10,Review-g1006565-d2066794_2:10:2,eend,FOOD#PRICES,positive,60,64
Review-g1006565-d2066794_2:11,Review-g1006565-d2066794_2:11:0,wijnen,DRINKS#QUALITY,positive,63,69
Review-g1006565-d2066794_2:11,Review-g1006565-d2066794_2:11:1,wijnkaart,DRINKS#STYLE_OPTIONS,positive,3,12
Review-g1006565-d2066794_2:12,Review-g1006565-d2066794_2:12:0,NULL,FOOD#QUALITY,positive,0,0
Review-g1006565-d2066794_2:13,Review-g1006565-d2066794_2:13:0,NULL,FOOD#QUALITY,positive,0,0
Review-g1006565-d2066794_2:13,Review-g1006565-d2066794_2:13:1,omgeving,AMBIENCE#GENERAL,positive,95,103
Review-g1006565-d2066794_4:2,Review-g1006565-d2066794_4:2:0,gelegenheid,RESTAURANT#GENERAL,positive,24,35
Review-g1006565-d2066794_4:4,Review-g1006565-d2066794_4:4:0,producten,FOOD#QUALITY,positive,57,66
Review-g1006565-d2066794_4:6,Review-g1006565-d2066794_4:6:0,menukaart,FOOD#STYLE_OPTIONS,negative,11,20
Review-g1006565-d2066794_4:7,Review-g1006565-d2066794_4:7:0,3 gang menu,RESTAURANT#GENERAL,positive,20,31
Review-g1006565-d2066794_4:7,Review-g1006565-d2066794_4:7:1,3 gang menu,RESTAURANT#PRICES,positive,20,31
Review-g1006565-d2066794_4:8,Review-g1006565-d2066794_4:8:0,menukaart,FOOD#STYLE_OPTIONS,negative,22,31
Review-g1006565-d2066794_4:10,Review-g1006565-d2066794_4:10:0,personeel,SERVICE#GENERAL,positive,4,13
Review-g1006565-d2066794_4:13,Review-g1006565-d2066794_4:13:0,NULL,SERVICE#GENERAL,positive,0,0
Review-g1006565-d2066794_4:17,Review-g1006565-d2066794_4:17:0,NULL,RESTAURANT#GENERAL,positive,0,0
Review-g1006565-d2066794_4:18,Review-g1006565-d2066794_4:18:0,ambiance,AMBIENCE#GENERAL,positive,52,60
Review-g1006565-d2066794_4:18,Review-g1006565-d2066794_4:18:1,eten,FOOD#QUALITY,positive,34,38
Review-g1006565-d2066794_4:19,Review-g1006565-d2066794_4:19:0,NULL,RESTAURANT#GENERAL,positive,0,0
Review-g1009379-d1094833_1:1,Review-g1009379-d1094833_1:1:0,keuken,FOOD#QUALITY,positive,46,52
Review-g1009379-d1094833_1:1,Review-g1009379-d1094833_1:1:1,zaak,LOCATION#GENERAL,positive,16,20
