sid,id,target,category,polarity,from,to
1004293:0,1004293:0:0,place,RESTAURANT#GENERAL,negative,51,56
1004293:1,1004293:1:0,staff,SERVICE#GENERAL,negative,75,80
1004293:2,1004293:2:0,NULL,SERVICE#GENERAL,negative,0,0
1004293:3,1004293:3:0,food,FOOD#QUALITY,negative,4,8
1004293:3,1004293:3:1,portions,FOOD#STYLE_OPTIONS,negative,52,60
1004293:4,1004293:4:0,NULL,SERVICE#GENERAL,negative,0,0
1004293:5,1004293:5:0,place,RESTAURANT#GENERAL,negative,11,16
1014458:0,1014458:0:0,food,FOOD#QUALITY,positive,38,42
1014458:1,1014458:1:0,Saul,RESTAURANT#GENERAL,positive,0,4
1014458:2,1014458:2:0,foie gras terrine with figs,FOOD#QUALITY,positive,42,69
1014458:2,1014458:2:1,duck confit,FOOD#QUALITY,positive,4,15
1014458:3,1014458:3:0,wine list,DRINKS#STYLE_OPTIONS,positive,4,13
1014458:3,1014458:3:1,wine list,DRINKS#PRICES,positive,4,13
1014458:4,1014458:4:0,NULL,RESTAURANT#PRICES,positive,0,0
1014458:4,1014458:4:1,NULL,FOOD#QUALITY,positive,0,0
1016296:0,1016296:0:0,restaurant,RESTAURANT#GENERAL,negative,34,44
1016296:1,1016296:1:0,cart attendant,SERVICE#GENERAL,negative,12,26
1016296:2,1016296:2:0,NULL,SERVICE#GENERAL,negative,0,0
1016296:3,1016296:3:0,Food,FOOD#QUALITY,neutral,0,4
1016296:4,1016296:4:0,Chow fun,FOOD#QUALITY,negative,0,8
1016296:4,1016296:4:1,pork shu mai,FOOD#QUALITY,negative,18,30
1016296:4,1016296:4:2,NULL,RESTAURANT#MISCELLANEOUS,negative,0,0
1016296:5,1016296:5:0,place,RESTAURANT#GENERAL,negative,32,37
1028246:0,1028246:0:0,Fish,RESTAURANT#GENERAL,positive,35,39
1028246:1,1028246:1:0,Service,SERVICE#GENERAL,positive,0,7
1028246:1,1028246:1:1,oysters,FOOD#QUALITY,positive,20,27
1028246:1,1028246:1:2,NULL,RESTAURANT#PRICES,positive,0,0
1028246:2,1028246:2:0,NULL,RESTAURANT#GENERAL,positive,0,0
1032695:0,1032695:0:0,Restaurant Saul,RESTAURANT#GENERAL,positive,50,65
1032695:1,1032695:1:0,NULL,FOOD#QUALITY,positive,0,0
1032695:1,1032695:1:1,service,SERVICE#GENERAL,positive,47,54
1032695:1,1032695:1:2,decor,AMBIENCE#GENERAL,positive,73,78
1032695:2,1032695:2:0,duck breast special,FOOD#QUALITY,positive,10,29
1032695:3,1032695:3:0,NULL,RESTAURANT#GENERAL,positive,0,0
1041457:1,1041457:1:0,NULL,RESTAURANT#GENERAL,negative,0,0
1041457:2,1041457:2:0,food,FOOD#QUALITY,negative,4,8
1041457:2,1041457:2:1,Thai fusion stuff,FOOD#QUALITY,negative,31,48
1041457:2,1041457:2:2,NULL,FOOD#QUALITY,negative,0,0
1041457:3,1041457:3:0,Grilled Chicken special with Edamame Puree,FOOD#QUALITY,positive,46,88
1041457:4,1041457:4:0,Edamame pureed,FOOD#QUALITY,positive,16,30
1041457:4,1041457:4:1,Edamame pureed,FOOD#STYLE_OPTIONS,positive,16,30
1041457:6,1041457:6:0,place,AMBIENCE#GENERAL,negative,142,147
1041457:6,1041457:6:1,decor,AMBIENCE#GENERAL,positive,4,9
1041457:6,1041457:6:2,vent,AMBIENCE#GENERAL,negative,60,64
1053543:2,1053543:2:0,sake list,DRINKS#STYLE_OPTIONS,positive,6,15
1053543:2,1053543:2:1,NULL,SERVICE#GENERAL,positive,0,0
1053543:3,1053543:3:0,spicy tuna roll,FOOD#QUALITY,positive,4,19
1053543:3,1053543:3:1,rock shrimp tempura,FOOD#QUALITY,positive,47,66
1053543:4,1053543:4:0,service,SERVICE#GENERAL,positive,74,81
1055910:0,1055910:0:0,pink pony,RESTAURANT#GENERAL,positive,11,20
1055910:1,1055910:1:0,spot,RESTAURANT#GENERAL,positive,12,16
1055910:2,1055910:2:0,Food,FOOD#QUALITY,positive,0,4
1055910:3,1055910:3:0,Service,SERVICE#GENERAL,positive,0,7
