sid,id,target,category,polarity,from,to
g1079435-d3498474-r271346275:0,g1079435-d3498474-r271346275:0:0,service,SERVICE#GENERAL,neutral,3,10
g1079435-d3498474-r271346275:0,g1079435-d3498474-r271346275:0:1,plats,FOOD#QUALITY,negative,27,32
g1079435-d3498474-r271346275:0,g1079435-d3498474-r271346275:0:2,sauces,FOOD#QUALITY,negative,47,53
g1079435-d3498474-r271346275:0,g1079435-d3498474-r271346275:0:3,NULL,RESTAURANT#PRICES,neutral,0,0
g1079435-d3498474-r271346275:0,g1079435-d3498474-r271346275:0:4,NULL,FOOD#QUALITY,negative,0,0
g1079435-d3498474-r271346275:0,g1079435-d3498474-r271346275:0:5,resto,RESTAURANT#GENERAL,negative,242,247
g1080298-d1332050-r275655485:0,g1080298-d1332050-r275655485:0:0,ambiance,AMBIENCE#GENERAL,positive,23,31
g1080298-d1332050-r275655485:0,g1080298-d1332050-r275655485:0:1,promenade,LOCATION#GENERAL,positive,40,49
g1080298-d1332050-r275655485:0,g1080298-d1332050-r275655485:0:2,service,SERVICE#GENERAL,positive,97,104
g1080298-d1332050-r275655485:1,g1080298-d1332050-r275655485:1:0,NULL,RESTAURANT#GENERAL,positive,0,0
g1080298-d4701165-r281527562:0,g1080298-d4701165-r281527562:0:0,attente,SERVICE#GENERAL,negative,24,31
g1080298-d4701165-r281527562:0,g1080298-d4701165-r281527562:0:1,NULL,FOOD#QUALITY,negative,0,0
g1080298-d4701165-r281527562:1,g1080298-d4701165-r281527562:1:0,NULL,RESTAURANT#GENERAL,neutral,0,0
g1080298-d4701165-r281527562:2,g1080298-d4701165-r281527562:2:0,NULL,RESTAURANT#GENERAL,negative,0,0
g1080559-d3686505-r151173923:0,g1080559-d3686505-r151173923:0:0,adresse,RESTAURANT#GENERAL,positive,4,11
g1080559-d3686505-r151173923:0,g1080559-d3686505-r151173923:0:1,vue,LOCATION#GENERAL,positive,30,33
g1080559-d3686505-r151173923:0,g1080559-d3686505-r151173923:0:2,cuisine,FOOD#QUALITY,positive,124,131
g1080559-d3686505-r151173923:0,g1080559-d3686505-r151173923:0:3,service,SERVICE#GENERAL,positive,155,162
g1080574-d1337519-r211045323:0,g1080574-d1337519-r211045323:0:0,NULL,SERVICE#GENERAL,negative,0,0
g1080574-d1337519-r211045323:2,g1080574-d1337519-r211045323:2:0,lasagnes,FOOD#QUALITY,negative,24,32
g1080574-d1337519-r211045323:2,g1080574-d1337519-r211045323:2:1,fromage,FOOD#QUALITY,negative,60,67
g1080574-d1337519-r211045323:2,g1080574-d1337519-r211045323:2:2,concentré de tomates,FOOD#QUALITY,negative,125,145
g1080574-d1337519-r211045323:3,g1080574-d1337519-r211045323:3:0,Dessert,FOOD#QUALITY,negative,0,7
g1080574-d1337519-r211045323:4,g1080574-d1337519-r211045323:4:0,NULL,RESTAURANT#GENERAL,negative,0,0
g1582538-d3877732-r250915172:0,g1582538-d3877732-r250915172:0:0,NULL,RESTAURANT#GENERAL,positive,0,0
g1582538-d3877732-r250915172:1,g1582538-d3877732-r250915172:1:0,menu du jour,FOOD#QUALITY,positive,3,15
g1582538-d3877732-r250915172:1,g1582538-d3877732-r250915172:1:1,NULL,SERVICE#GENERAL,positive,0,0
g1582538-d3877732-r250915172:2,g1582538-d3877732-r250915172:2:0,NULL,RESTAURANT#MISCELLANEOUS,positive,0,0
g1582538-d3877732-r250915172:2,g1582538-d3877732-r250915172:2:1,plats,FOOD#STYLE_OPTIONS,positive,40,45
g1582538-d3877732-r250915172:3,g1582538-d3877732-r250915172:3:0,table des desserts,FOOD#STYLE_OPTIONS,positive,3,21
g1582538-d3877732-r250915172:3,g1582538-d3877732-r250915172:3:1,tarte gourmande,FOOD#QUALITY,positive,78,93
g1582538-d3877732-r250915172:3,g1582538-d3877732-r250915172:3:2,gâteau,FOOD#QUALITY,positive,100,106
g1582538-d3877732-r250915172:4,g1582538-d3877732-r250915172:4:0,NULL,AMBIENCE#GENERAL,positive,0,0
g1582538-d3877732-r250915172:4,g1582538-d3877732-r250915172:4:1,NULL,FOOD#QUALITY,positive,0,0
