sid,id,target,category,polarity,from,to
27925:3,27925:3:0,Обслуживание,SERVICE#GENERAL,positive,0,12
27925:3,27925:3:1,метрдотель,SERVICE#GENERAL,positive,34,44
27925:4,27925:4:0,уголке,AMBIENCE#GENERAL,positive,16,22
27925:4,27925:4:1,приглушенный свет,AMBIENCE#GENERAL,positive,46,63
27925:6,27925:6:0,блюд,FOOD#QUALITY,positive,53,57
27925:6,27925:6:1,улитки,FOOD#PRICES,positive,75,81
27925:6,27925:6:2,улитки,FOOD#QUALITY,positive,75,81
27925:6,27925:6:3,блюда из мяса на мангале,FOOD#QUALITY,positive,175,199
27925:6,27925:6:4,блюда из мяса на мангале,FOOD#STYLE_OPTIONS,positive,175,199
27925:6,27925:6:5,мяса на мангале,FOOD#QUALITY,positive,306,321
27925:7,27925:7:0,живая музыка,AMBIENCE#GENERAL,positive,49,61
27925:7,27925:7:1,голос солистки,AMBIENCE#GENERAL,positive,187,201
27925:8,27925:8:0,ресторане,RESTAURANT#GENERAL,positive,64,73
10099:3,10099:3:0,NULL,RESTAURANT#GENERAL,positive,0,0
10099:5,10099:5:0,Еда,FOOD#QUALITY,positive,0,3
10099:6,10099:6:0,NULL,FOOD#QUALITY,positive,0,0
10099:7,10099:7:0,интерьера,AMBIENCE#GENERAL,neutral,10,19
10099:7,10099:7:1,место,RESTAURANT#GENERAL,neutral,21,26
10099:7,10099:7:2,атмосфера,AMBIENCE#GENERAL,positive,137,146
10099:8,10099:8:0,заведением,RESTAURANT#GENERAL,positive,31,41
10231:0,10231:0:0,кухне,FOOD#QUALITY,positive,40,45
10231:1,10231:1:0,паста с лососем,FOOD#QUALITY,positive,12,27
10231:1,10231:1:1,супчики,FOOD#QUALITY,positive,42,49
10231:1,10231:1:2,десерты,FOOD#QUALITY,positive,59,66
10231:2,10231:2:0,обслуживанием,SERVICE#GENERAL,positive,54,67
10231:2,10231:2:1,едой,FOOD#QUALITY,positive,70,74
10231:3,10231:3:0,Интерьер,AMBIENCE#GENERAL,neutral,0,8
10231:3,10231:3:1,залов,AMBIENCE#GENERAL,neutral,30,35
10231:4,10231:4:0,место,RESTAURANT#GENERAL,positive,16,21
10239:1,10239:1:0,NULL,RESTAURANT#GENERAL,positive,0,0
10239:2,10239:2:0,NULL,RESTAURANT#GENERAL,positive,0,0
10239:3,10239:3:0,Интерьер,AMBIENCE#GENERAL,neutral,0,8
10239:3,10239:3:1,освещением,AMBIENCE#GENERAL,positive,47,57
10239:3,10239:3:2,обслуживание,SERVICE#GENERAL,neutral,71,83
10239:4,10239:4:0,качестве и исполнении блюд,FOOD#QUALITY,positive,7,33
10239:4,10239:4:1,блюд,FOOD#QUALITY,positive,29,33
10239:5,10239:5:0,салаты,FOOD#QUALITY,positive,17,23
10239:5,10239:5:1,горячие,FOOD#QUALITY,positive,26,33
10239:5,10239:5:2,ирыба,FOOD#QUALITY,positive,66,71
