sid,id,target,category,polarity,from,to
es_9reinas_10_JordiCollGranell_2014-09-21:0,es_9reinas_10_JordiCollGranell_2014-09-21:0:0,NULL,RESTAURANT#GENERAL,positive,0,0
es_9reinas_10_JordiCollGranell_2014-09-21:1,es_9reinas_10_JordiCollGranell_2014-09-21:1:0,servicio,SERVICE#GENERAL,positive,5,13
es_9reinas_10_JordiCollGranell_2014-09-21:1,es_9reinas_10_JordiCollGranell_2014-09-21:1:1,ambiente,AMBIENCE#GENERAL,positive,15,23
es_9reinas_10_JordiCollGranell_2014-09-21:1,es_9reinas_10_JordiCollGranell_2014-09-21:1:2,comida,FOOD#QUALITY,positive,47,53
es_9reinas_10_JordiCollGranell_2014-09-21:2,es_9reinas_10_JordiCollGranell_2014-09-21:2:0,NULL,RESTAURANT#GENERAL,positive,0,0
es_9reinas_12_RomanAlimena_2014-09-04:0,es_9reinas_12_RomanAlimena_2014-09-04:0:0,atencion,SERVICE#GENERAL,positive,3,11
es_9reinas_12_RomanAlimena_2014-09-04:0,es_9reinas_12_RomanAlimena_2014-09-04:0:1,camareros,SERVICE#GENERAL,positive,30,39
es_9reinas_12_RomanAlimena_2014-09-04:1,es_9reinas_12_RomanAlimena_2014-09-04:1:0,comida,FOOD#QUALITY,positive,5,11
es_9reinas_12_RomanAlimena_2014-09-04:2,es_9reinas_12_RomanAlimena_2014-09-04:2:0,salsa provenzal,FOOD#PRICES,negative,45,60
es_9reinas_12_RomanAlimena_2014-09-04:2,es_9reinas_12_RomanAlimena_2014-09-04:2:1,NULL,RESTAURANT#GENERAL,positive,0,0
es_9reinas_14_AngelEspanolPuig_2014-06-26:0,es_9reinas_14_AngelEspanolPuig_2014-06-26:0:0,NULL,RESTAURANT#GENERAL,neutral,0,0
es_9reinas_14_AngelEspanolPuig_2014-06-26:1,es_9reinas_14_AngelEspanolPuig_2014-06-26:1:0,NULL,RESTAURANT#GENERAL,neutral,0,0
es_9reinas_14_AngelEspanolPuig_2014-06-26:2,es_9reinas_14_AngelEspanolPuig_2014-06-26:2:0,carnes,FOOD#QUALITY,neutral,4,10
es_9reinas_14_AngelEspanolPuig_2014-06-26:3,es_9reinas_14_AngelEspanolPuig_2014-06-26:3:0,comida,FOOD#PRICES,negative,28,34
es_9reinas_17_JoseCarlosLopez_2014-02-24:0,es_9reinas_17_JoseCarlosLopez_2014-02-24:0:0,producto,FOOD#QUALITY,positive,15,23
es_9reinas_17_JoseCarlosLopez_2014-02-24:0,es_9reinas_17_JoseCarlosLopez_2014-02-24:0:1,servicio,SERVICE#GENERAL,positive,28,36
es_9reinas_17_JoseCarlosLopez_2014-02-24:0,es_9reinas_17_JoseCarlosLopez_2014-02-24:0:2,entorno,AMBIENCE#GENERAL,positive,41,48
es_9reinas_18_DanielGonzalez_2014-02-01:0,es_9reinas_18_DanielGonzalez_2014-02-01:0:0,9reinas,RESTAURANT#GENERAL,positive,0,7
es_9reinas_18_DanielGonzalez_2014-02-01:1,es_9reinas_18_DanielGonzalez_2014-02-01:1:0,servicio,SERVICE#GENERAL,positive,3,11
es_9reinas_18_DanielGonzalez_2014-02-01:1,es_9reinas_18_DanielGonzalez_2014-02-01:1:1,comida,FOOD#QUALITY,positive,44,50
es_9reinas_18_DanielGonzalez_2014-02-01:2,es_9reinas_18_DanielGonzalez_2014-02-01:2:0,NULL,RESTAURANT#PRICES,positive,0,0
es_9reinas_18_DanielGonzalez_2014-02-01:2,es_9reinas_18_DanielGonzalez_2014-02-01:2:1,carta,FOOD#STYLE_OPTIONS,positive,103,108
es_9reinas_18_DanielGonzalez_2014-02-01:3,es_9reinas_18_DanielGonzalez_2014-02-01:3:0,NULL,RESTAURANT#GENERAL,positive,0,0
es_9reinas_23_MJoseVillalbaSedano_2013-12-22:0,es_9reinas_23_MJoseVillalbaSedano_2013-12-22:0:0,comida,FOOD#QUALITY,positive,25,31
es_9reinas_23_MJoseVillalbaSedano_2013-12-22:0,es_9reinas_23_MJoseVillalbaSedano_2013-12-22:0:1,ambiente,AMBIENCE#GENERAL,positive,47,55
es_9reinas_23_MJoseVillalbaSedano_2013-12-22:0,es_9reinas_23_MJoseVillalbaSedano_2013-12-22:0:2,NULL,RESTAURANT#GENERAL,positive,0,0
es_9reinas_23_MJoseVillalbaSedano_2013-12-22:0,es_9reinas_23_MJoseVillalbaSedano_2013-12-22:0:3,NULL,SERVICE#GENERAL,positive,0,0
es_9reinas_23_MJoseVillalbaSedano_2013-12-22:1,es_9reinas_23_MJoseVillalbaSedano_2013-12-22:1:0,NULL,RESTAURANT#GENERAL,positive,0,0
es_9reinas_23_MJoseVillalbaSedano_2013-12-22:2,es_9reinas_23_MJoseVillalbaSedano_2013-12-22:2:0,NULL,RESTAURANT#GENERAL,positive,0,0
es_9reinas_23_MJoseVillalbaSedano_2013-12-22:2,es_9reinas_23_MJoseVillalbaSedano_2013-12-22:2:1,carnes,FOOD#QUALITY,positive,29,35
es_9reinas_24_PilarTorresCarbajo_2013-12-22:0,es_9reinas_24_PilarTorresCarbajo_2013-12-22:0:0,restaurante,AMBIENCE#GENERAL,positive,3,14
es_9reinas_24_PilarTorresCarbajo_2013-12-22:1,es_9reinas_24_PilarTorresCarbajo_2013-12-22:1:0,comida,FOOD#QUALITY,positive,3,9
es_9reinas_24_PilarTorresCarbajo_2013-12-22:2,es_9reinas_24_PilarTorresCarbajo_2013-12-22:2:0,servicio,SERVICE#GENERAL,positive,3,11
es_9reinas_26_Lucia_2013-12-10:0,es_9reinas_26_Lucia_2013-12-10:0:0,9reinas,RESTAURANT#GENERAL,positive,34,41
es_9reinas_26_Lucia_2013-12-10:1,es_9reinas_26_Lucia_2013-12-10:1:0,carnes,FOOD#QUALITY,positive,18,24
es_9reinas_26_Lucia_2013-12-10:1,es_9reinas_26_Lucia_2013-12-10:1:1,servicio,SERVICE#GENERAL,positive,38,46
es_9reinas_26_Lucia_2013-12-10:1,es_9reinas_26_Lucia_2013-12-10:1:2,bodega,DRINKS#QUALITY,positive,58,64
es_9reinas_26_Lucia_2013-12-10:2,es_9reinas_26_Lucia_2013-12-10:2:0,NULL,RESTAURANT#GENERAL,positive,0,0
es_9reinas_29_MarionCanavera_2013-07-14:0,es_9reinas_29_MarionCanavera_2013-07-14:0:0,restaurante,RESTAURANT#GENERAL,positive,0,11
es_9reinas_29_MarionCanavera_2013-07-14:0,es_9reinas_29_MarionCanavera_2013-07-14:0:1,carne,FOOD#QUALITY,positive,26,31
es_9reinas_29_MarionCanavera_2013-07-14:1,es_9reinas_29_MarionCanavera_2013-07-14:1:0,NULL,RESTAURANT#GENERAL,positive,0,0
es_9reinas_2_AlbertMuntana_2015-03-09:0,es_9reinas_2_AlbertMuntana_2015-03-09:0:0,NULL,RESTAURANT#GENERAL,positive,0,0
es_9reinas_2_AlbertMuntana_2015-03-09:0,es_9reinas_2_AlbertMuntana_2015-03-09:0:1,servicio,SERVICE#GENERAL,positive,35,43
es_9reinas_2_AlbertMuntana_2015-03-09:0,es_9reinas_2_AlbertMuntana_2015-03-09:0:2,comida,FOOD#QUALITY,positive,48,54
es_9reinas_2_AlbertMuntana_2015-03-09:0,es_9reinas_2_AlbertMuntana_2015-03-09:0:3,apariencia,AMBIENCE#GENERAL,positive,60,70
es_9reinas_30_LauraMallen_2013-06-23:0,es_9reinas_30_LauraMallen_2013-06-23:0:0,NULL,RESTAURANT#GENERAL,positive,0,0
es_9reinas_30_LauraMallen_2013-06-23:1,es_9reinas_30_LauraMallen_2013-06-23:1:0,sitio,AMBIENCE#GENERAL,positive,3,8
es_9reinas_30_LauraMallen_2013-06-23:1,es_9reinas_30_LauraMallen_2013-06-23:1:1,comida,FOOD#QUALITY,positive,26,32
es_9reinas_30_LauraMallen_2013-06-23:1,es_9reinas_30_LauraMallen_2013-06-23:1:2,trato,SERVICE#GENERAL,positive,48,53
es_9reinas_30_LauraMallen_2013-06-23:2,es_9reinas_30_LauraMallen_2013-06-23:2:0,NULL,RESTAURANT#GENERAL,positive,0,0
es_9reinas_31_Sp_2013-06-22:0,es_9reinas_31_Sp_2013-06-22:0:0,NULL,RESTAURANT#GENERAL,positive,0,0
es_9reinas_31_Sp_2013-06-22:0,es_9reinas_31_Sp_2013-06-22:0:1,ambiente,AMBIENCE#GENERAL,neutral,52,60
es_9reinas_31_Sp_2013-06-22:0,es_9reinas_31_Sp_2013-06-22:0:2,servicio,SERVICE#GENERAL,positive,95,103
es_9reinas_31_Sp_2013-06-22:0,es_9reinas_31_Sp_2013-06-22:0:3,tiempos,SERVICE#GENERAL,positive,40,47
es_9reinas_31_Sp_2013-06-22:0,es_9reinas_31_Sp_2013-06-22:0:4,NULL,FOOD#QUALITY,positive,0,0
es_9reinas_31_Sp_2013-06-22:1,es_9reinas_31_Sp_2013-06-22:1:0,dulce de leche,FOOD#QUALITY,positive,3,17
es_9reinas_32_JordiFriasMartinez_2013-05-07:0,es_9reinas_32_JordiFriasMartinez_2013-05-07:0:0,Restaurante,RESTAURANT#GENERAL,positive,22,33
es_9reinas_32_JordiFriasMartinez_2013-05-07:1,es_9reinas_32_JordiFriasMartinez_2013-05-07:1:0,NULL,FOOD#QUALITY,positive,0,0
es_9reinas_32_JordiFriasMartinez_2013-05-07:1,es_9reinas_32_JordiFriasMartinez_2013-05-07:1:1,NULL,RESTAURANT#PRICES,positive,0,0
es_9reinas_32_JordiFriasMartinez_2013-05-07:1,es_9reinas_32_JordiFriasMartinez_2013-05-07:1:2,NULL,SERVICE#GENERAL,positive,0,0
es_9reinas_35_Seasexandsun_2013-04-02:0,es_9reinas_35_Seasexandsun_2013-04-02:0:0,NULL,RESTAURANT#GENERAL,positive,0,0
es_9reinas_38_AdamNash_2013-02-13:0,es_9reinas_38_AdamNash_2013-02-13:0:0,NULL,RESTAURANT#GENERAL,positive,0,0
es_9reinas_38_AdamNash_2013-02-13:1,es_9reinas_38_AdamNash_2013-02-13:1:0,NULL,RESTAURANT#GENERAL,positive,0,0
es_9reinas_3_OliviaPotet_2015-01-15:0,es_9reinas_3_OliviaPotet_2015-01-15:0:0,resaturante,RESTAURANT#GENERAL,positive,0,11
es_9reinas_3_OliviaPotet_2015-01-15:0,es_9reinas_3_OliviaPotet_2015-01-15:0:1,comida,FOOD#QUALITY,positive,37,43
es_9reinas_3_OliviaPotet_2015-01-15:0,es_9reinas_3_OliviaPotet_2015-01-15:0:2,servicio,SERVICE#GENERAL,positive,46,54
es_9reinas_3_OliviaPotet_2015-01-15:1,es_9reinas_3_OliviaPotet_2015-01-15:1:0,amabilidad,SERVICE#GENERAL,positive,9,19
es_9reinas_3_OliviaPotet_2015-01-15:1,es_9reinas_3_OliviaPotet_2015-01-15:1:1,NULL,RESTAURANT#GENERAL,positive,0,0
es_9reinas_40_RichardHobohm_2013-01-03:0,es_9reinas_40_RichardHobohm_2013-01-03:0:0,Servicio,SERVICE#GENERAL,positive,0,8
es_9reinas_40_RichardHobohm_2013-01-03:0,es_9reinas_40_RichardHobohm_2013-01-03:0:1,platitos para el pan,SERVICE#GENERAL,negative,27,47
es_9reinas_40_RichardHobohm_2013-01-03:1,es_9reinas_40_RichardHobohm_2013-01-03:1:0,musica argentina,AMBIENCE#GENERAL,negative,13,29
es_9reinas_40_RichardHobohm_2013-01-03:2,es_9reinas_40_RichardHobohm_2013-01-03:2:0,NULL,RESTAURANT#PRICES,neutral,0,0
es_9reinas_42_EduardoCubero_2012-12-04:0,es_9reinas_42_EduardoCubero_2012-12-04:0:0,servicio,SERVICE#GENERAL,positive,63,71
