rid,id,text
456,456:0,أنصح بالنوم وليس تناول الطعام  موقع مثالي للإقامة قبل رحلة طيران مبكرة.
456,456:1,كانت الغرفة ممتازة وكذلك الموظفون وبوفيه الإفطار. ومع ذلك فقد كانت وجبة العشاء في المطعم باهظة الثمن وغير مرضية.
456,456:2,فندق يتميز بمرافق نوعيّة وخلّاقة وساخنة. قم بشراء وجبة داخل الغرفة من M _ S عند الوصول في المطار بدلا من ذلك
1322,1322:0,لمسة بحرية  جميل وظريفة، فندق تقليدي في المدينة التاريخية القديمة.
1322,1322:1,سأوصي بالتأكيد بموقع المدينة القديمة إلا إنه عليك الحذر من الأسعار السياحية الأكثر ارتفاعاً.
1322,1322:2,فريق العمل الودود والمتعاون على الإطلاق والبار المنعش على الإطلاق خلال فصل الصيف.
1322,1322:3,فندق جميل، ولكن فقط كن جاهزاً للمزيد من الجو البحري!!
1322,1322:4,كان الإفطار مبهجاً - لذيذ للغاية مع تشكيلة رائعة. رائع - 5 نجوم!
1606,1606:0,من افضل فنادق المدينه المنوره انصح وبشده من يريد ان يشعر انه في بيته الثاني ان يذهب اليه اكل نظيف تعامل راقي
1606,1606:1,خدمات مميزه موقع ممتاز وقريب خصوصا لمن معهم نساء وذلك لقربه من بوابة مصلى النساء نظافة المكان
1606,1606:2,وجود خدمات توصيل من والى المطار وجود سيارات تنقلك الى المزارات ( مسجد قباء - مقبرة الشهداء - مقبرة البقيع )
759,759:0,من افضل الفنادق التي تجعلك تشتاق الي العرده اليه والاقامه فيه حيث الرقي والرفاهيه والامتياز في تقديم الخدمه
759,759:1,وايضا لديكم افضل وامهر الاشخاص مع النزلاء وانصح الجميع بتجربه الصاله التنفيذيه ولديهم افضل الوجبات من حيث الجوده و الطعم و الموقع ممتاز مع الحرم
196,196:0,فندق رائع الفندق اكثر من رائع وخصوصا مستوى الخدمه وسرعه تلبيه رغباتى من قبل مكاتب الاستقبال والرقى فى التعامل من بدايه الاستقبال فى المطار وحتى المغادره
196,196:1,مستوى مركز اللياقه البدنيه ممتاز الفندق قريب من غلب مناطق الكويت الترفيهيه والمزارات السياحيه والمطاعم ويعتبر من اقرب الفنادق للشاطئ
1700,1700:0,اقامة هادئة
1700,1700:1,لقد اقمت 3 ايام فى هذا الفندق الجميل وكنت ذاهب للاستجمام ووجد فيه كل الهدوء الذى كنت اتمناه ووجدت فيه مناظر جميلة وشيقة مثل مطاعمه الكثيرة والمصنفة عالميا
1700,1700:2,ورأيت فى جميع العاملين الخدمة الممتازة . واشكر السيد / محسن على المساعدة وقيامه بكل واجبات عمله معى واشكر ايضا البواب عدنان لتذكيري بعد ان نسيت هاتفي الجوال بالتاكسي ، واشكر جميع العاملين بهذا الفندق الممتاز
2278,2278:0,رحلة عمل سأظل أتذكر هذا الفندق لسنوات عديدة، فقد كانت هناك صراصير في الغرفة،
2278,2278:1,(وهم يرشون المكان طوال الوقت ولكن الصراصير لا تنتهي أبدا!) وعلى الرغم من أن موظفي الفندق كانوا يبذلون قصارى جهدهم، وأنا أشكرهم على ذلك، إلا أن المرافق لم تكن تساعدهم على ذلك.
2278,2278:2,والنوافذ كان بها طبقة واحدة من الزجاج ولذلك كان صوت أبواق السيارات مزعجا حقا طوال الليل.
2278,2278:3,ولن أنصح أحد بهذا الفندق لا سيما إذا كان يصطحب أطفالا.
2278,2278:4,وبالنسبة لرحلات العمل القصيرة، التي لا تستدعي إجراءات خاصة، لا بأس بهذا الفندق، ولكن ليس أكثر من ذلك!
1068,1068:0,متوسط الفندق مقبول بدرجة متوسطة و في بعض حاجات مش مقبولة
1068,1068:1,و هي  1:-في صراصير بالحمام مش كثير بي بكره أكيد بكثرة
1068,1068:2,2:- الماء الساخن بالحمام ساعات تبقى باردة جدا و ساعات تبقى دافنة
