rid,id,text
Huawei_Ascend_G6_4G_4,Huawei_Ascend_G6_4G_4:1,"Ik zou deze gsm ten sterkste aanbevelen ik was lang aan het twijfelen of ik hem zou kopen maar zeker geen spijt van, tot nu toe heb ik nog geen minpunten gemerkt en de accu gaat ook lang mee."
Huawei_Ascend_G6_4G_4,Huawei_Ascend_G6_4G_4:2,en ook een dikke duim voor de service van bol.com op vrijdag besteld en zaterdag al in huis.
Huawei_Ascend_G6_4G_4,Huawei_Ascend_G6_4G_4:3,Toppie!
Huawei_Ascend_G6_4G_4,Huawei_Ascend_G6_4G_4:4,een aanrader!
Huawei_Ascend_G6_4G_5,Huawei_Ascend_G6_4G_5:1,Ben nu ruim twee maanden in het bezit van dit toestel.
Huawei_Ascend_G6_4G_5,Huawei_Ascend_G6_4G_5:2,Heb voorafgaande aan de aankoop veel onderzoek gedaan op internet.
Huawei_Ascend_G6_4G_5,Huawei_Ascend_G6_4G_5:3,"Gezien de prijs kwaliteit verhouding, goede beoordelingen en reviews bekeken."
Huawei_Ascend_G6_4G_5,Huawei_Ascend_G6_4G_5:4,Juist de meningen van andere hebben mij en mijn vrouw over de streep getrokken tot aankoop.
Huawei_Ascend_G6_4G_5,Huawei_Ascend_G6_4G_5:5,Inmiddels hebben wij beiden dit toestel gekocht en zijn zeer tevreden.
Huawei_Ascend_G6_4G_5,Huawei_Ascend_G6_4G_5:6,Voor een meer dan gemiddelde GSM gebruiker meer dan tevreden.
Huawei_Ascend_G6_4G_5,Huawei_Ascend_G6_4G_5:7,Kan zeer goed wedijveren met de topmodellen van Samsung en Apple.
Huawei_Ascend_G6_4G_5,Huawei_Ascend_G6_4G_5:8,Heb zelf een Apple-4 voor mijn werk gehad.
Huawei_Ascend_G6_4G_5,Huawei_Ascend_G6_4G_5:9,Wil dit toestel niet meer ruilen voor een Apple.
Huawei_Ascend_G6_4G_5,Huawei_Ascend_G6_4G_5:10,Kortom; Prijs kwaliteit heeft ons over de streep getrokken.
Huawei_Ascend_G6_4G_5,Huawei_Ascend_G6_4G_5:11,"Bol.com maakt zijn beloftes waar, perfecte en snelle levering!!!!!"
Sony_Xperia_Z1_Compact_1,Sony_Xperia_Z1_Compact_1:1,"Ik heb deze telefoon aangeschaft om mijn oude Xperia Sola te vervangen, aangezien deze wat langzamer werd."
Sony_Xperia_Z1_Compact_1,Sony_Xperia_Z1_Compact_1:2,Het nieuwe toestel bevalt tot nu toe zeer goed!
Sony_Xperia_Z1_Compact_1,Sony_Xperia_Z1_Compact_1:3,"Het formaat is precies wat je zou verwachten van een compacte versie, hij is niet te groot en niet te klein."
Sony_Xperia_Z1_Compact_1,Sony_Xperia_Z1_Compact_1:4,Één van de belangrijkste redenen voor mij om deze telefoon aan te schaffen was om mijn typgemak te vergroten.
Sony_Xperia_Z1_Compact_1,Sony_Xperia_Z1_Compact_1:5,Ik kan gelukkig meedelen dat het toestel lekker in de hand ligt en dat het toetsenbord prima reageert.
Sony_Xperia_Z1_Compact_1,Sony_Xperia_Z1_Compact_1:6,Tot slot moet ik een compliment geven wat betreft de levensduur van de batterij.
Sony_Xperia_Z1_Compact_1,Sony_Xperia_Z1_Compact_1:7,Als ik mijn gebruik tot Whatsapp (veelvuldig gebruik hiervan) beperk kan ik 2 tot 3 dagen met mijn accu doen!
Sony_Xperia_Z1_Compact_1,Sony_Xperia_Z1_Compact_1:8,"Om toch nog iets negatiefs te noemen: hoewel de camera een behoorlijk aantal megapixels heeft, merk ik dat sommige foto's toch niet scherp gemaakt worden."
Sony_Xperia_Z1_Compact_1,Sony_Xperia_Z1_Compact_1:9,De meeste foto's zien er echter prima uit.
Motorola_Nexus_6_3,Motorola_Nexus_6_3:1,Zelf had ik deze telefoon al sinds december maar mijn vrouw wilde dezelfde.
