rid,id,text
Review-g1006565-d2066794_1,Review-g1006565-d2066794_1:1,Lange wachttijd.
Review-g1006565-d2066794_1,Review-g1006565-d2066794_1:2,"Zelfde dessert, 2 dagen na mekaar."
Review-g1006565-d2066794_1,Review-g1006565-d2066794_1:3,Ontbijtbuffet was tip top in orde.
Review-g1006565-d2066794_1,Review-g1006565-d2066794_1:4,Niet goedkoop!
Review-g1006565-d2066794_2,Review-g1006565-d2066794_2:1,Via via hadden we gehoord dat we hier moesten zijn voor Wagye runder vlees.
Review-g1006565-d2066794_2,Review-g1006565-d2066794_2:2,Onze Gps was niet de beste reisleider om in Kasteel Altembrouck te geraken.
Review-g1006565-d2066794_2,Review-g1006565-d2066794_2:3,Maar eens in het kasteelrestaurant aangekomen werd het een feest.
Review-g1006565-d2066794_2,Review-g1006565-d2066794_2:4,"Vooreerst de bediening, uitzonderlijk vriendelijk attent niet geforceerd maar echt."
Review-g1006565-d2066794_2,Review-g1006565-d2066794_2:5,"Zelden meegemaakt, tussen het personeel was er een heerlijk plagende chemie."
Review-g1006565-d2066794_2,Review-g1006565-d2066794_2:6,Je hebt de keuze tussen een beperkt aantal menus.
Review-g1006565-d2066794_2,Review-g1006565-d2066794_2:7,Specialisatie zijn de Wagye runderen.
Review-g1006565-d2066794_2,Review-g1006565-d2066794_2:8,Als je uitleg vraagt over dit lekkere rundvlees wordt het vlees op voorhand op een bord aan je voorgesteld.
Review-g1006565-d2066794_2,Review-g1006565-d2066794_2:9,Goedkoop is het niet maar wel uitzonderlijk lekker.
Review-g1006565-d2066794_2,Review-g1006565-d2066794_2:10,"Als je geen steak liefhebber bent is er een visalternatief, eend en lam aan aanvaardbare prijzen."
Review-g1006565-d2066794_2,Review-g1006565-d2066794_2:11,De wijnkaart is een goede selectie van lekkere kwaliteitsvolle wijnen.
Review-g1006565-d2066794_2,Review-g1006565-d2066794_2:12,Het was lang geleden dat we zo lekker geëten hebben.
Review-g1006565-d2066794_2,Review-g1006565-d2066794_2:13,Op de grens tussen Nederland en België hebben we uitzonderlijk lekker geëten in een sfeervolle omgeving met een livebandje die de juiste toon vond en ons een heerlijke namiddag hebben bezorgd.
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:1,Dit is de 3de keer dat wij hier eten.
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:2,Het is een fantastische gelegenheid.
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:3,Bij mooi weer buiten op de binnenplaats of aan de vijver iets eten of drinken.
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:4,Op het landgoed Altembrouck werkt men met verse eerlijke producten.
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:5,Zo hebben ze majalica (krulhaar) varkens en wagyu runderen.
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:6,Er is geen menukaart.
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:7,"Op zondag is er een 3 gang menu voor 27,50 wat echt prijs kwaliteit is."
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:8,Nadeel is dat er geen menukaart is zelfs geen dagelijkse.
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:9,Als de gastheer heeft opgenoemd wat er te eten is ben je alvorens hij of zij aan het dessert is kwijt wat het hoofdgerecht is.
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:10,Het personeel is zeer vriendelijk en correct zonder stijf te zijn.
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:11,Jammer alleen van de laatste keer dat men zowel varkens als rundvlees als hoofdgerecht noemde en onze hele tafel vond het vreemd dat niet gevraagd werd waar onze voorkeur naar uit ging.
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:12,Navraag leerde dat het rund helaas al uitverkocht was.
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:13,"Verder is, en zeer flexibel 3 pers wilde graag (met bijbetaling) gaan voor het voorgerecht van het paasmenu."
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:14,Dat ging allemaal.
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:15,Toch zou het een aanrader zijn om op z'n minst zoiets als een paasmenu op de website te zetten.
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:16,"Nu moet je erachteraan bellen of mailen, dat is niet erg commercieel."
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:17,Voor rest niets als lof.
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:18,Zo heerlijk fantasievol opgedient eten in een fijne ambiance.
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:19,Ik kan dit alleen maar aanraden.
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:20,Kom je hier voor een glas wijn en of een salade... ook prima.
Review-g1006565-d2066794_4,Review-g1006565-d2066794_4:21,Gewoon n keer doen en laat je verrassen.
Review-g1009379-d1094833_1,Review-g1009379-d1094833_1:1,"Spijtig, zo een zaak, prachtig gelegen, goede keuken, maar de vriendelijkheid van de ober is een echte schande en onproffesioneel,"
Review-g1009379-d1094833_2,Review-g1009379-d1094833_2:1,We hadden bij ons thuis een Zwitser te gast.
Review-g1009379-d1094833_2,Review-g1009379-d1094833_2:2,Hij was blij verrast met de rondleiding die hij kreeg in Halle.
Review-g1009379-d1094833_2,Review-g1009379-d1094833_2:3,"Voor al met het feit dat Cardijn zijn jeugd door bracht in Halle, de mooie Sint-Martinusbasilieken."
Review-g1009379-d1094833_2,Review-g1009379-d1094833_2:4,Hij kende de muziek van Servais maar wist niet dat het van Servais hier nog stonk.
Review-g1009379-d1094833_2,Review-g1009379-d1094833_2:5,"Het idee om deze mooi avond af te sluiten met een etentje op het terras van ""'t Groot Café"" was een echte afknapper van je welste."
Review-g1009379-d1094833_2,Review-g1009379-d1094833_2:6,De ober was juist ontslagen dacht ik.
Review-g1009379-d1094833_2,Review-g1009379-d1094833_2:7,Zo onvriendelijk op het boertig af.
Review-g1009379-d1094833_2,Review-g1009379-d1094833_2:8,Blijkbaar werkt hij er nog.sympathieker is hij er zeker niet op geworden.
Review-g1009379-d1094833_2,Review-g1009379-d1094833_2:9,Het eten veel ook niet echt mee of speelde de bediening hier bij een rol.
Review-g1009379-d1094833_2,Review-g1009379-d1094833_2:10,Zo lang die ober daar blijft werken mij niet meer gezien.
Review-g1009379-d1094833_3,Review-g1009379-d1094833_3:1,Wij kwamen met 9 personen een hapje eten.
Review-g1009379-d1094833_3,Review-g1009379-d1094833_3:2,Wat een vreselijke ervaring.
Review-g1009379-d1094833_3,Review-g1009379-d1094833_3:3,De ober was ronduit onbeleefd en deed er alles aan om ons duidelijk te maken dat hij geen zin had om ons te bedienen.
