rid,id,text
1000,1000:0,Manzara sahane evet ama servis rezalet.
1000,1000:1,"Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi."
1000,1000:2,"Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil."
1000,1000:3,bu servise bu fiyatlar ise cok faZla.
1000,1000:4,Lacivert beni kalitesinin dusukluguyle cok sasirtti
1001,1001:0,Nerden baslasam bilemedim.
1001,1001:1,Buraya bu kadar iyi yorum yapanlar her halde daha önce hiç balik yemediler.
1001,1001:2,Kalamardan ve koladan önce balik geldi ve apar topar önümüze atildi.
1001,1001:3,ayrica gelen kalamar soguk ve sünger gibiydi.
1001,1001:4,uzun lafin kisasi kesinlikle ve asla bir daha gitmem ve tavsiyede etmem.
1001,1001:5,Daha önce de söyledigim gibi büyüdükçe kalitesi düsen yerlerden
1002,1002:0,Kesinlikle ev yemegi degil - Bu kadar basarisiz ev yemekleri olmasina ragmen ögle saatlerinde ki yogunlugu çözebilmis degilim.
1002,1002:1,Ya insanlar gerçekten ev yemeginin nasil oldugunu bilmiyorlar.
1002,1002:2,Ya da herkes benim gibi 1 kere deniyor ve bir daha gitmiyor.
1002,1002:3,1 kere denedigim fiyatlarinin yüksek yemeklerinin lezzetsiz oldugu bir mekan önermiyorum.
1003,1003:0,"mekanın girişinde kasap reyonu ışıltılı,sıcak bir ortam yaratılmaya çalışılmış manzara olmadığı için bulunduğu konumda pek samimi bulmadım."
1003,1003:1,garsonumuz ilgisizdi biz söyledikce yaptı buda benim restauranttan beklentimi zayıflatıyor.
1003,1003:2,lokumun daha iyisini yedim küşleme güzeldi.
1003,1003:3,şazeli salata yani...
1003,1003:4,bilemedim mekana daha sonra belki bir şans daha verebilirim.
1004,1004:0,2 sene önce hızlı bir kahvaltı yapmak için geldiğimiz mekana dair hatırımda kalan 6 tl lik çayı oldu:
1004,1004:1,) menüde dikkat etmemiştik ama hesap gelince ufak bir şok yaşamıştık😩 güzel olabilir ama kahvaltıdan fazla ödediğimiz çay yüzünden bir daha uğramadık.
1005,1005:0,Şatobiryanı öneririm.
1005,1005:1,Sosu tereyagli ve yumusak .
1005,1005:2,Sert et sevmeyenler icin cok lezzetliydi.
1005,1005:3,Guvecte yogurt ve salatayla iyi bir uclu oldu.
1005,1005:4,Servisi hizli valesi var.
1005,1005:5,Acik mekanda ise gardenya bolumu guzel.
1005,1005:6,Kalabalik icin ideal.
1005,1005:7,Yaninda cafe ve nargile bolumu var.
1006,1006:0,"Cok fazla cesit var,insanin kafasi karışıyor dogrusu."
1006,1006:1,Bugun çalışan arkadasin yonlendirmesiyle siyah caylardan bourbon vanilla ictik.
1006,1006:2,Vanilya tadi gerçekten baya hissediliyodu ama ben beyaz caylarini daha cok begenmistim.
1006,1006:3,"Ortam güzel,özellikle rahat oturma köşeleri👌 Esas kahve sever biri oldugum icin cok tercih ettigim mekan değil ama yine de arada degisiklik icin guzel olabilir."
1007,1007:0,Yoğun olduğu günlerde(cumartes-pazar) gitmenizi tavsiye etmem.
1007,1007:1,Lezzet değişiyor...
1007,1007:2,Şubelerden en iyisi Pendik merkez ana şubesi iyidir.
1008,1008:0,Bugüne kadar dışarıda yediğim en lezzetli kurufasülyeci.
1008,1008:1,Bir arkadaşımın tavsiyesi ile Ortaköy şubesine gittim.
1008,1008:2,"Fasulyesi ağızda dağılıyor adeta, lokum gibi."
1008,1008:3,Duyduğum kadarıyla suda değil sütte bekletiyorlarmış.
1008,1008:4,"Yanında turşu, cacık veya yoğurtla harika oluyor."
1008,1008:5,"Pilavı da çok lezzetli, mis gibi tereyağ kokuyor."
1008,1008:6,Finali sütlaçla yapmanızı tavsiye ediyorum.
1008,1008:7,Sütlacı da enfes.
1009,1009:0,"Hard Rock Cafe'de hiç sıra beklemeden oturmaya alışık değiliz ki biz, Avrupa veya Amerika'dakilerle aynı duyguyu vermiyor bu sebeple ama lezzet tabii yine aynı."
1009,1009:1,Atıştırmalık Jumbo Combo pek yummy!
1010,1010:0,Deniz ürünleri çok başarılı.
1010,1010:1,Manzarası zaten mükemmel.
1010,1010:2,"Bütün istanbul'un güzelliğini, yoğunluğunu hissediyorsun."
1010,1010:3,Onun dışında pek öğrenci mekanı değil.
1010,1010:4,"Özel günlerde gidilecek, küçük kutlamalar yapılacak bir yer"
1011,1011:0,"Rahatça sohbet edebilmek istiyorsanız, orta mükemmel."
1011,1011:1,"Çalan müzik tam kıvamında, rahatsız etmiyor."
1011,1011:2,"Yemekleri çok lezzetli, manzara mükemmel."
